2393 :: ['Warszawa', 'Lublin', 'Katowice', 'Krakow', 'Lodz', 'Poznan', 'Wroclaw', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2394 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Poznan', 'Lodz', 'Bydgoszcz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2396 :: ['Warszawa', 'Gdansk', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Wroclaw', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2397 :: ['Warszawa', 'Lublin', 'Katowice', 'Krakow', 'Wroclaw', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Warszawa']
2398 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Warszawa']
2399 :: ['Warszawa', 'Lodz', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Lublin', 'Warszawa']
2400 :: ['Warszawa', 'Gdansk', 'Lodz', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2401 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Lodz', 'Wroclaw', 'Szczecin', 'Gdansk', 'Poznan', 'Bydgoszcz', 'Warszawa']
2402 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2403 :: ['Warszawa', 'Lublin', 'Katowice', 'Krakow', 'Wroclaw', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Warszawa']
2404 :: ['Warszawa', 'Gdansk', 'Lodz', 'Bydgoszcz', 'Poznan', 'Szczecin', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2405 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Szczecin', 'Gdansk', 'Lodz', 'Poznan', 'Bydgoszcz', 'Warszawa']
2406 :: ['Warszawa', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Lodz', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2407 :: ['Warszawa', 'Lodz', 'Lublin', 'Katowice', 'Krakow', 'Wroclaw', 'Szczecin', 'Poznan', 'Bydgoszcz', 'Gdansk', 'Warszawa']
